REGION_NAME,BRAND,SKU,MONTH,AVERAGE_BASE_PRICE,VOLUME
CENTRAL,BELLEZA (PWANI OIL PRODUCTS),100ML,7,374.9723183,753.7047292
CENTRAL,BELLEZA (PWANI OIL PRODUCTS),100ML,8,362.8452158,896.5371042
CENTRAL,BELLEZA (PWANI OIL PRODUCTS),100ML,9,431.0596878,1087.976313
CENTRAL,BELLEZA (PWANI OIL PRODUCTS),100ML,10,296.9553776,601.4099583
CENTRAL,BELLEZA (PWANI OIL PRODUCTS),100ML,11,340.9728682,407.7794583
CENTRAL,DETREX,100G,1,923.7354988,751.5425
CENTRAL,DETREX,100G,2,1483.925373,177.408
CENTRAL,DETREX,100G,3,4030.083333,88.436
CENTRAL,DETREX,100G,4,1755.213333,241.9625
CENTRAL,DETREX,100G,5,878.0432432,305.2662222
CENTRAL,DETREX,100G,6,3031.393443,381.3047222
CENTRAL,DETREX,100G,7,795.8076923,145.7418333
CENTRAL,DETREX,100G,8,926.9473684,93.52383333
CENTRAL,DETREX,100G,9,975.843318,381.0924444
CENTRAL,DETREX,100G,10,863.3957447,363.1865
CENTRAL,DETREX,100G,11,1707.22335,1282.976083
CENTRAL,DETREX,100G,12,444.2987805,378.8525
CENTRAL,DETREX,600G,1,20739.4386,11548.8
CENTRAL,DETREX,600G,2,22273.77778,11750.4
CENTRAL,DETREX,600G,3,14182.27027,7689.6
CENTRAL,DETREX,600G,4,27588.83019,7142.4
CENTRAL,DETREX,600G,5,17506.98246,4874.4
CENTRAL,DETREX,600G,6,14200.73171,2844
CENTRAL,DETREX,600G,8,5369.571429,367.2
CENTRAL,DETREX,600G,9,3748.171429,640.8
CENTRAL,DETREX,80G,1,730.4567393,3368.64
CENTRAL,DETREX,80G,2,652.2350674,2776.08
CENTRAL,DETREX,80G,3,773.7823867,3132.16
CENTRAL,DETREX,80G,4,655.2272727,2233.92
CENTRAL,DETREX,80G,5,574.474553,2234.64
CENTRAL,DETREX,80G,6,750.4705882,2191.36
CENTRAL,DETREX,80G,7,366.9101124,1452.8
CENTRAL,DETREX,80G,8,415.550208,1855.68
CENTRAL,DETREX,80G,9,420.557677,1400.48
CENTRAL,DETREX,80G,10,349.6870096,1083.44
CENTRAL,DETREX,80G,11,450.0676884,1768.32
CENTRAL,DETREX,80G,12,373.3680049,1693.28
CENTRAL,DIRIA,10KG,2,6980,80
CENTRAL,DIRIA,10KG,3,8725,50
CENTRAL,DIRIA,10KG,4,7416.25,170
CENTRAL,DIRIA,10KG,5,6980,160
CENTRAL,DIRIA,10KG,6,10470,180
CENTRAL,DIRIA,1KG,1,5418,168
CENTRAL,DIRIA,1KG,2,4902,228
CENTRAL,DIRIA,1KG,3,4422.857143,120
CENTRAL,DIRIA,1KG,4,10836,168
CENTRAL,DIRIA,1KG,5,3870,60
CENTRAL,DIRIA,1KG,6,3096,36
CENTRAL,DIRIA,1KG,8,3096,12
CENTRAL,DIRIA,250G,1,6275,1.25
CENTRAL,DIRIA,250G,2,6275,1.25
CENTRAL,DIRIA,250G,3,2510,0.5
CENTRAL,DIRIA,250G,4,1882.5,0.75
CENTRAL,DIRIA,250G,5,1673.333333,1
CENTRAL,DIRIA,250G,6,1255,1
CENTRAL,DIRIA,2KG,1,3156,24
CENTRAL,DIRIA,2KG,2,3156,24
CENTRAL,DIRIA,2KG,3,4734,36
CENTRAL,DIRIA,2KG,4,5523,84
CENTRAL,DIRIA,2KG,5,4734,36
CENTRAL,DIRIA,2KG,6,6312,48
CENTRAL,DIRIA,500G,1,8450.736842,3516
CENTRAL,DIRIA,500G,2,9918.347107,4380
CENTRAL,DIRIA,500G,3,19362.66667,8268
CENTRAL,DIRIA,500G,4,9952.071429,4068
CENTRAL,DIRIA,500G,5,9415.636364,3780
CENTRAL,DIRIA,500G,6,6847.175258,2424
CENTRAL,DIRIA,500G,7,7398,108
CENTRAL,DIRIA,500G,8,4384,240
CENTRAL,DIRIA,500G,9,3616.8,264
CENTRAL,DIVA (PWANI OIL PRODUCTS),100G,1,1629.333333,54
CENTRAL,DIVA (PWANI OIL PRODUCTS),100G,2,1964.666667,50.4
CENTRAL,DIVA (PWANI OIL PRODUCTS),100G,3,1684,3.6
CENTRAL,DIVA (PWANI OIL PRODUCTS),100G,4,1684,7.2
CENTRAL,DIVA (PWANI OIL PRODUCTS),100G,5,1684,25.2
CENTRAL,DIVA (PWANI OIL PRODUCTS),100G,6,3368,7.2
CENTRAL,DIVA (PWANI OIL PRODUCTS),100G,11,198.0714286,5.9
CENTRAL,DIVA (PWANI OIL PRODUCTS),100G,12,152.75,1.3
CENTRAL,DIVA (PWANI OIL PRODUCTS),200G,1,2461.875,172.8
CENTRAL,DIVA (PWANI OIL PRODUCTS),200G,2,2128.666667,43.2
CENTRAL,DIVA (PWANI OIL PRODUCTS),200G,3,4380,9.6
CENTRAL,DIVA (PWANI OIL PRODUCTS),200G,4,2190,4.8
CENTRAL,DIVA (PWANI OIL PRODUCTS),200G,5,2190,14.4
CENTRAL,DIVA (PWANI OIL PRODUCTS),200G,6,2190,9.6
CENTRAL,DIVA (PWANI OIL PRODUCTS),100ML,1,487.5,3.766458333
CENTRAL,DIVA (PWANI OIL PRODUCTS),100ML,7,2223,19.58558333
CENTRAL,DIVA (PWANI OIL PRODUCTS),100ML,10,75.26315789,5.524138889
CENTRAL,DIVA (PWANI OIL PRODUCTS),100ML,11,82.02380952,13.30815278
CENTRAL,DIVA (PWANI OIL PRODUCTS),100ML,12,255,38.417875
CENTRAL,DIVA (PWANI OIL PRODUCTS),50ML,1,114,0.563041667
CENTRAL,DIVA (PWANI OIL PRODUCTS),50ML,5,144,4.005777778
CENTRAL,DIVA (PWANI OIL PRODUCTS),50ML,6,120,5.007222222
CENTRAL,DIVA (PWANI OIL PRODUCTS),50ML,7,413.2702703,25.52816667
CENTRAL,DIVA (PWANI OIL PRODUCTS),50ML,8,144,1.502166667
CENTRAL,DIVA (PWANI OIL PRODUCTS),50ML,9,456,2.252166667
CENTRAL,DIVA (PWANI OIL PRODUCTS),50ML,10,69.84705882,19.70790278
CENTRAL,DIVA (PWANI OIL PRODUCTS),50ML,11,47.13924051,18.39269444
CENTRAL,DIVA (PWANI OIL PRODUCTS),50ML,12,109.25,30.21656944
CENTRAL,FRESCO (PWANI OIL PRODUCTS),100ML,1,275.5709091,351.4035
CENTRAL,FRESCO (PWANI OIL PRODUCTS),100ML,2,274.1104513,535.0735833
CENTRAL,FRESCO (PWANI OIL PRODUCTS),100ML,3,471.4320685,893.449375
CENTRAL,FRESCO (PWANI OIL PRODUCTS),100ML,4,300.2867514,383.5756458
CENTRAL,FRESCO (PWANI OIL PRODUCTS),100ML,5,319.4926199,401.4047917
CENTRAL,FRESCO (PWANI OIL PRODUCTS),100ML,6,285.9765458,310.8646042
CENTRAL,FRESCO (PWANI OIL PRODUCTS),100ML,7,364.5266187,587.3657708
CENTRAL,FRESCO (PWANI OIL PRODUCTS),100ML,8,432.2188006,618.3426667
CENTRAL,FRESCO (PWANI OIL PRODUCTS),100ML,9,426.2135135,731.1941875
CENTRAL,FRESCO (PWANI OIL PRODUCTS),100ML,10,336.8767967,380.2887083
CENTRAL,FRESCO (PWANI OIL PRODUCTS),100ML,11,451.2829132,373.6152292
CENTRAL,FRESH FRI,1L,3,4735,10.692
CENTRAL,FRESH FRI,500ML,1,12230,26.73
CENTRAL,FRESH FRI,500ML,2,2446,5.346
CENTRAL,FRESH FRI,500ML,5,4892,10.692
CENTRAL,FRESH FRI,1L,1,9470,21.384
CENTRAL,FRESH FRI,250ML,1,8154,48.114
CENTRAL,FRESH FRI,250ML,2,8154,16.038
CENTRAL,FRESH FRI,250ML,3,4077,16.038
CENTRAL,FRESH FRI,250ML,5,2718,5.346
CENTRAL,FRESH FRI,500ML,6,12230,26.73
CENTRAL,FRESH FRI,10L,2,5906,17.82
CENTRAL,FRESH FRI,10L,4,29530,89.1
CENTRAL,FRESH FRI,10L,11,51185.33333,463.32
CENTRAL,FRESH FRI,1L,1,2945.51503,9098.001
CENTRAL,FRESH FRI,1L,2,2672.164859,7625.178
CENTRAL,FRESH FRI,1L,3,2661.008798,5616.864
CENTRAL,FRESH FRI,1L,4,2355.239688,6538.158
CENTRAL,FRESH FRI,1L,5,2013.014423,5182.947
CENTRAL,FRESH FRI,1L,6,2410.646766,5998.212
CENTRAL,FRESH FRI,1L,7,1474.37626,4073.652
CENTRAL,FRESH FRI,1L,8,1684.479245,5525.091
CENTRAL,FRESH FRI,1L,9,1751.346705,5673.888
CENTRAL,FRESH FRI,1L,10,1718.29023,3700.323
CENTRAL,FRESH FRI,1L,11,1951.002288,2638.251
CENTRAL,FRESH FRI,20L,1,29425,267.3
CENTRAL,FRESH FRI,20L,2,20597.5,124.74
CENTRAL,FRESH FRI,20L,4,60811.66667,552.42
CENTRAL,FRESH FRI,20L,5,23540,71.28
CENTRAL,FRESH FRI,20L,7,35310,106.92
CENTRAL,FRESH FRI,20L,11,44726,677.16
CENTRAL,FRESH FRI,250ML,1,807.829646,2011.739333
CENTRAL,FRESH FRI,250ML,2,844.2244898,2051.403667
CENTRAL,FRESH FRI,250ML,3,901.1601563,1271.041333
CENTRAL,FRESH FRI,250ML,4,814.226257,1605.737
CENTRAL,FRESH FRI,250ML,5,638.8128655,1202.854333
CENTRAL,FRESH FRI,250ML,6,817.5709459,1332.989
CENTRAL,FRESH FRI,250ML,7,512.2216359,1068.263
CENTRAL,FRESH FRI,250ML,8,642.519403,1185.027667
CENTRAL,FRESH FRI,250ML,9,639.7027972,1007.206667
CENTRAL,FRESH FRI,250ML,10,618.1158301,881.083
CENTRAL,FRESH FRI,250ML,11,786.5785124,524.104
CENTRAL,FRESH FRI,2L,1,2999.875371,6826.842
CENTRAL,FRESH FRI,2L,2,2972.061151,5579.442
CENTRAL,FRESH FRI,2L,3,3682.766234,5745.168
CENTRAL,FRESH FRI,2L,4,2780.178344,5894.856
CENTRAL,FRESH FRI,2L,5,2410.597623,4793.58
CENTRAL,FRESH FRI,2L,6,2601.211169,5032.368
CENTRAL,FRESH FRI,2L,7,1634.226115,3464.208
CENTRAL,FRESH FRI,2L,8,1886.304348,4686.66
CENTRAL,FRESH FRI,2L,9,1961.560109,4847.04
CENTRAL,FRESH FRI,2L,10,1777.5,3384.018
CENTRAL,FRESH FRI,2L,11,2548.65,2409.264
CENTRAL,FRESH FRI,3L,1,4332.283465,11259.378
CENTRAL,FRESH FRI,3L,2,4457.630952,10216.843
CENTRAL,FRESH FRI,3L,3,4554.330709,7891.188
CENTRAL,FRESH FRI,3L,4,3749.560976,7340.515667
CENTRAL,FRESH FRI,3L,5,3406.632836,7784.261333
CENTRAL,FRESH FRI,3L,6,3612.587601,9142.23
CENTRAL,FRESH FRI,3L,7,2264.851312,5298.216333
CENTRAL,FRESH FRI,3L,8,2718.679157,7917.919667
CENTRAL,FRESH FRI,3L,9,2650.713092,6490.448667
CENTRAL,FRESH FRI,3L,10,2519.231884,4742.197667
CENTRAL,FRESH FRI,3L,11,4329.006711,4400.032333
CENTRAL,FRESH FRI,500ML,1,1603.147208,2837.835
CENTRAL,FRESH FRI,500ML,2,1341.829856,2503.71
CENTRAL,FRESH FRI,500ML,3,1501.375,2158.4475
CENTRAL,FRESH FRI,500ML,4,1227.164983,2182.5045
CENTRAL,FRESH FRI,500ML,5,1021.167925,1619.838
CENTRAL,FRESH FRI,500ML,6,1145.535509,1786.9005
CENTRAL,FRESH FRI,500ML,7,886.3577513,1556.1315
CENTRAL,FRESH FRI,500ML,8,956.9146919,1812.294
CENTRAL,FRESH FRI,500ML,9,985.5468227,1763.289
CENTRAL,FRESH FRI,500ML,10,886.8588957,1296.8505
CENTRAL,FRESH FRI,500ML,11,1156.40249,833.976
CENTRAL,FRESH FRI,5L,1,4809.656442,5822.685
CENTRAL,FRESH FRI,5L,2,6433.957219,4468.365
CENTRAL,FRESH FRI,5L,3,5314.478088,4953.96
CENTRAL,FRESH FRI,5L,4,4940.703947,5577.66
CENTRAL,FRESH FRI,5L,5,3613.44664,3394.71
CENTRAL,FRESH FRI,5L,6,4467.572414,4811.4
CENTRAL,FRESH FRI,5L,7,3109.793103,2009.205
CENTRAL,FRESH FRI,5L,8,3661.650558,3657.555
CENTRAL,FRESH FRI,5L,9,3325.780702,2815.56
CENTRAL,FRESH FRI,5L,10,3671.791209,2481.435
CENTRAL,FRESH FRI,5L,11,5641.02381,1759.725
CENTRAL,FRESH ZAIT,10L,4,10560,44.55
CENTRAL,FRESH ZAIT,10L,6,42240,712.8
CENTRAL,FRESH ZAIT,20L,6,35857.06667,2280.96
CENTRAL,FRYKING,1KG,1,4305,12
CENTRAL,FRYKING,1KG,2,4305,12
CENTRAL,FRYKING,1KG,4,4305,24
CENTRAL,FRYKING,1KG,5,4305,24
CENTRAL,FRYKING,1KG,6,4305,36
CENTRAL,FRYKING,250G,3,2233,0.25
CENTRAL,FRYKING,250G,4,2977.333333,1
CENTRAL,FRYKING,250G,5,2233,0.25
CENTRAL,FRYKING,250G,6,4466,0.5
CENTRAL,FRYKING,2KG,1,8594,24
CENTRAL,FRYKING,500G,1,4816.529412,444
CENTRAL,FRYKING,500G,2,5364.848485,480
CENTRAL,FRYKING,500G,3,4794.833333,312
CENTRAL,FRYKING,500G,4,5996.516129,504
CENTRAL,FRYKING,500G,5,5277.153846,372
CENTRAL,FRYKING,500G,6,5633.090909,336
CENTRAL,FRYKING,500G,8,4426,60
CENTRAL,FRYKING,500G,9,5058.285714,96
CENTRAL,FRYMATE,,1,3577.777778,125
CENTRAL,FRYMATE,,2,1656,45
CENTRAL,FRYMATE,,3,1717.333333,20
CENTRAL,FRYMATE,,4,3864,75
CENTRAL,FRYMATE,,5,3864,30
CENTRAL,FRYMATE,,6,4293.333333,100
CENTRAL,FRYMATE,100G,1,2862.222222,300
CENTRAL,FRYMATE,100G,2,2424,139
CENTRAL,FRYMATE,100G,3,2237.333333,99.6
CENTRAL,FRYMATE,100G,4,4186,65
CENTRAL,FRYMATE,100G,5,2790.666667,65
CENTRAL,FRYMATE,100G,6,4048,110
CENTRAL,FRYMATE,10KG,1,17333.70652,7620
CENTRAL,FRYMATE,10KG,2,15287.50704,5180
CENTRAL,FRYMATE,10KG,3,17396.23944,5890
CENTRAL,FRYMATE,10KG,4,20071.92308,2500
CENTRAL,FRYMATE,10KG,5,18723.21429,1250
CENTRAL,FRYMATE,10KG,6,13281,380
CENTRAL,FRYMATE,10KG,7,10485,50
CENTRAL,FRYMATE,17KG,2,18895,85
CENTRAL,FRYMATE,17KG,3,18895,85
CENTRAL,FRYMATE,17KG,4,11337,153
CENTRAL,FRYMATE,17KG,6,7558,34
CENTRAL,FRYMATE,1KG,1,3434,24
CENTRAL,FRYMATE,1KG,2,4292.5,60
CENTRAL,FRYMATE,1KG,4,2951,22
CENTRAL,FRYMATE,1KG,6,3434,36
CENTRAL,FRYMATE,1KG,7,3434,12
CENTRAL,FRYMATE,1KG,8,2701,29
CENTRAL,FRYMATE,250G,2,2182,6
CENTRAL,FRYMATE,250G,3,3818.5,42
CENTRAL,FRYMATE,250G,4,5455,30
CENTRAL,FRYMATE,250G,5,24002,132
CENTRAL,FRYMATE,250G,6,2909.333333,24
CENTRAL,FRYMATE,2KG,1,3468,24
CENTRAL,FRYMATE,2KG,4,3468,12
CENTRAL,FRYMATE,500G,1,1128.496711,1185.5
CENTRAL,FRYMATE,500G,2,1948.395939,1327
CENTRAL,FRYMATE,500G,3,4424.689655,444
CENTRAL,FRYMATE,500G,4,4335.428571,630
CENTRAL,FRYMATE,500G,5,2876.210526,378
CENTRAL,FRYMATE,500G,6,2522.8,394
CENTRAL,FRYMATE,500G,7,1265.454545,96
CENTRAL,FRYMATE,500G,8,3217.5,46
CENTRAL,FRYMATE,500G,9,2360.333333,24.5
CENTRAL,FRYMATE,500G,10,2466,10
CENTRAL,FRYMATE,50G,2,1300,14.4
CENTRAL,FRYMATE,50G,3,975,3.6
CENTRAL,FRYMATE,5KG,1,9320.472973,3275
CENTRAL,FRYMATE,5KG,2,12391.55357,3295
CENTRAL,FRYMATE,5KG,3,10530,700
CENTRAL,FRYMATE,5KG,4,9859.909091,515
CENTRAL,FRYMATE,5KG,5,7254,310
CENTRAL,FRYMATE,5KG,6,23166,550
CENTRAL,FRYMATE,5KG,7,5265,25
CENTRAL,WHITE WASH (PWANI OIL PRODUCTS),25G,1,1150.5,14.09333333
CENTRAL,WHITE WASH (PWANI OIL PRODUCTS),25G,2,2285,14
CENTRAL,WHITE WASH (PWANI OIL PRODUCTS),25G,3,2285,14
CENTRAL,WHITE WASH (PWANI OIL PRODUCTS),25G,5,2285,28
CENTRAL,WHITE WASH (PWANI OIL PRODUCTS),25G,7,2285,14
CENTRAL,WHITE WASH (PWANI OIL PRODUCTS),25G,10,1371,8.4
CENTRAL,MEDIMIX,300ML,2,8409,14.688
CENTRAL,MPISHI POA,100G,1,1288,5
CENTRAL,MPISHI POA,100G,2,1832,10.363
CENTRAL,MPISHI POA,100G,4,9660,75
CENTRAL,MPISHI POA,100G,5,2576,10
CENTRAL,MPISHI POA,10KG,1,15168.21053,1380
CENTRAL,MPISHI POA,10KG,2,25630,1100
CENTRAL,MPISHI POA,10KG,3,8981.4,430
CENTRAL,MPISHI POA,10KG,4,13106.25,500
CENTRAL,MPISHI POA,10KG,5,13892.625,530
CENTRAL,MPISHI POA,10KG,6,9087,130
CENTRAL,MPISHI POA,17KG,1,8672.5,85
CENTRAL,MPISHI POA,17KG,2,13876,136
CENTRAL,MPISHI POA,17KG,3,10407,51
CENTRAL,MPISHI POA,1KG,1,6358,275.385
CENTRAL,MPISHI POA,1KG,2,6936,400.56
CENTRAL,MPISHI POA,1KG,3,6936,50.07
CENTRAL,MPISHI POA,1KG,4,5881.384615,300.28
CENTRAL,MPISHI POA,1KG,5,17340,125.175
CENTRAL,MPISHI POA,1KG,6,3468,100.14
CENTRAL,MPISHI POA,1KG,8,2097,10
CENTRAL,MPISHI POA,1KG,9,3468,25.035
CENTRAL,MPISHI POA,250G,1,4364,50.756
CENTRAL,MPISHI POA,250G,2,2182,25.378
CENTRAL,MPISHI POA,250G,3,2182,25.378
CENTRAL,MPISHI POA,250G,4,4364,25.378
CENTRAL,MPISHI POA,250G,6,3273,38.067
CENTRAL,MPISHI POA,2KG,1,3468,49.82
CENTRAL,MPISHI POA,2KG,3,6936,49.82
CENTRAL,MPISHI POA,2KG,5,3468,24.91
CENTRAL,MPISHI POA,500G,1,1870.272289,5620.1435
CENTRAL,MPISHI POA,500G,2,1819.253125,4214.845833
CENTRAL,MPISHI POA,500G,3,5814,1432.524
CENTRAL,MPISHI POA,500G,4,4887.272727,1168.638
CENTRAL,MPISHI POA,500G,5,2509.043478,1671.278
CENTRAL,MPISHI POA,500G,6,2568.48,929.884
CENTRAL,MPISHI POA,500G,7,1419.673469,502.64
CENTRAL,MPISHI POA,500G,8,5086.4,261.056
CENTRAL,MPISHI POA,500G,9,4238.666667,135.66
CENTRAL,MPISHI POA,500G,10,6936,50.264
CENTRAL,MPISHI POA,5KG,1,4212,60
CENTRAL,MPISHI POA,5KG,2,7897.5,75
CENTRAL,MPISHI POA,5KG,3,5265,25
CENTRAL,MPISHI POA,5KG,4,6581.25,125
CENTRAL,MPISHI POA,5KG,5,3422.25,65
CENTRAL,MPISHI POA,5KG,6,5265,25
CENTRAL,NDUME,1KG,1,16335.55556,150970
CENTRAL,NDUME,1KG,2,15882.79271,135726
CENTRAL,NDUME,1KG,3,20348.77932,153242
CENTRAL,NDUME,1KG,4,18872.62717,86646
CENTRAL,NDUME,1KG,5,18053.35096,74881
CENTRAL,NDUME,1KG,6,18553.4716,69052
CENTRAL,NDUME,1KG,7,8589.40625,1850
CENTRAL,NDUME,1KG,8,8245.304878,4490
CENTRAL,NDUME,1KG,9,6985.975309,11253
CENTRAL,NDUME,1KG,10,7134.769231,510
CENTRAL,NDUME,700G,1,11825,87.5
CENTRAL,NDUME,700G,2,2365,17.5
CENTRAL,NDUME,700G,3,28850,175
CENTRAL,NDUME,700G,4,2494,16.8
CENTRAL,NDUME,700G,5,5482.5,77
CENTRAL,NDUME,800G,1,9454,753.825
CENTRAL,NDUME,800G,2,1447,28.8
CENTRAL,NDUME,800G,3,4987.5,201.6
CENTRAL,NDUME,800G,8,5700,115.2
CENTRAL,NDUME,800G,9,2137.5,28.8
CENTRAL,NDUME,200G,4,1754,76.84
CENTRAL,NDUME,200G,5,1754,76.84
CENTRAL,NDUME,200G,6,1754,268.93
CENTRAL,NDUME,200G,7,1315.5,57.63
CENTRAL,NDUME,200G,8,877,38.42
CENTRAL,ONJA,10KG,3,5118,30
CENTRAL,ONJA,1KG,7,3621,18
CENTRAL,ONJA,1KG,8,4242,120
CENTRAL,ONJA,1KG,9,4242,24
CENTRAL,ONJA,1KG,10,4242,12
CENTRAL,ONJA,1KG,11,4242,48
CENTRAL,ONJA,250G,6,362.4166667,92.25
CENTRAL,ONJA,250G,7,529.8,594.75
CENTRAL,ONJA,250G,8,546.2445652,786
CENTRAL,ONJA,250G,9,583.1710037,612.5
CENTRAL,ONJA,250G,10,618.6397985,453.25
CENTRAL,ONJA,250G,11,829.6871508,307.25
CENTRAL,ONJA,500G,7,2290.235294,216
CENTRAL,ONJA,500G,8,2163,324
CENTRAL,ONJA,500G,9,2163,336
CENTRAL,ONJA,500G,10,2163,204
CENTRAL,ONJA,500G,11,2403.333333,240
CENTRAL,POPCO,1KG,2,2778,40
CENTRAL,POPCO,1KG,3,3860.337662,2140
CENTRAL,POPCO,1KG,4,4955.814815,2890
CENTRAL,POPCO,1KG,5,4427.4375,1530
CENTRAL,POPCO,1KG,6,6538.984615,3060
CENTRAL,POPCO,1KG,7,4167,30
CENTRAL,POPCO,1KG,2,5863.4,190
CENTRAL,POPCO,1KG,3,6075.5625,630
CENTRAL,POPCO,1KG,4,4114.666667,80
CENTRAL,POPCO,1KG,5,3086,60
CENTRAL,POPCO,1KG,6,9258,1020
CENTRAL,POPCO,600G,4,29180,144
CENTRAL,POPCO,600G,7,9830,72
CENTRAL,POPCO,1L,1,7864.090909,7804.43
CENTRAL,POPCO,1L,2,5923.409396,5687.612
CENTRAL,POPCO,1L,3,12595.71975,12743.672
CENTRAL,POPCO,1L,4,6409.772727,3634.94
CENTRAL,POPCO,1L,5,16130.58462,6756.712
CENTRAL,POPCO,1L,6,9514.26506,5088.916
CENTRAL,POPCO,1L,7,3871,149.674
CENTRAL,POPCO,1L,8,4977,256.584
CENTRAL,POPCO,1L,9,3871,598.696
CENTRAL,POPCO,1L,11,6064.338983,2305.692333
CENTRAL,POPCO,2L,1,9731.2,3934.656
CENTRAL,POPCO,2L,2,6041.181208,3164.832
CENTRAL,POPCO,2L,3,11577.78313,6757.344
CENTRAL,POPCO,2L,4,10887.53086,3100.68
CENTRAL,POPCO,2L,5,6562.157895,1315.116
CENTRAL,POPCO,2L,6,10955.93151,2811.996
CENTRAL,POPCO,2L,7,3547.833333,74.844
CENTRAL,POPCO,2L,8,5068.333333,53.46
CENTRAL,POPCO,2L,9,4561.5,32.076
CENTRAL,POPCO,2L,11,6152.96,1081.674
CENTRAL,POPCO,3L,1,21107.97345,8471.793333
CENTRAL,POPCO,3L,2,9910.111111,3801.48
CENTRAL,POPCO,3L,3,26594.22222,11901.68
CENTRAL,POPCO,3L,4,13140.83607,2847.1
CENTRAL,POPCO,3L,5,21451,5485.68
CENTRAL,POPCO,3L,6,21899.50685,5678.16
CENTRAL,POPCO,3L,7,5645,80.2
CENTRAL,POPCO,3L,8,6523.111111,208.52
CENTRAL,POPCO,3L,9,7225.6,384.96
CENTRAL,POPCO,3L,11,14477.76471,1748.36
CENTRAL,POPCO,500ML,1,5222.308642,1319.425
CENTRAL,POPCO,500ML,2,3781.731343,790.32
CENTRAL,POPCO,500ML,3,5621.492537,1174.8
CENTRAL,POPCO,500ML,4,2934.431818,402.725
CENTRAL,POPCO,500ML,5,3424,352.44
CENTRAL,POPCO,500ML,6,4483.809524,587.4
CENTRAL,POPCO,500ML,7,2568,16.02
CENTRAL,POPCO,500ML,8,2201.142857,48.06
CENTRAL,POPCO,500ML,9,2140,53.4
CENTRAL,POPCO,500ML,11,1980.884615,160.645
CENTRAL,POPCO,5L,1,17994.65969,13160.07
CENTRAL,POPCO,5L,2,11761.27132,5809.32
CENTRAL,POPCO,5L,3,17491.84541,13863.96
CENTRAL,POPCO,5L,4,12751.20325,6005.34
CENTRAL,POPCO,5L,5,11694.36735,4388.175
CENTRAL,POPCO,5L,6,12441.38614,4811.4
CENTRAL,POPCO,5L,7,4654,35.64
CENTRAL,POPCO,5L,8,11635,534.6
CENTRAL,POPCO,5L,9,10436.24242,1318.68
CENTRAL,POPCO,5L,11,8567.6,1804.275
CENTRAL,RAINBOW,1KG,1,2723,42
CENTRAL,RAINBOW,1KG,2,1167,6
CENTRAL,RAINBOW,1KG,5,832,12
CENTRAL,RAINBOW,1KG,6,1232.4,30
CENTRAL,RAINBOW,1KG,7,440,5
CENTRAL,RAINBOW,200G,2,65.8,1.4
CENTRAL,RAINBOW,200G,3,752,9.6
CENTRAL,RAINBOW,200G,5,341.8181818,18
CENTRAL,RAINBOW,200G,6,545.4705882,39.6
CENTRAL,RAINBOW,200G,7,411.6,10.8
CENTRAL,RAINBOW,25G,2,16,0.7
CENTRAL,RAINBOW,40G,1,64,2.88
CENTRAL,RAINBOW,500G,7,432,12
CENTRAL,SALIT,10L,1,25740.30357,88984.17
CENTRAL,SALIT,10L,2,26173.30357,96513.12
